,airline_id,flight_number,departure_datetime,arrival_datetime,departure_time,arrival_time,booking_code,passenger_name,seat_number,class,fare,extras,loyalty_pts,status,gate,terminal,baggage_claim,duration_hrs,layovers,layover_locations,aircraft_type,pilot,cabin_crew,inflight_entertainment,meal_option,wifi,window_seat,aisle_seat,emergency_exit_row,total_stops,reward_program_member,airline_name
10,5,3526,2023-07-12 21:09:55,2023-10-25 09:43:26,20:20:27,03:12:24,BYAU,Manii,AOM,first,512.05,No Extras,0,cancelled,GateUZ,A,ClaimZQN,4.17,2,XAY,TypePPK,Pilot_IFGC,Crew_ZTNM,No,No Meal,Not Available,False,False,True,0,False,JetBlue Airways
11,14,8807,2023-05-24 07:36:24,2023-04-27 18:57:53,13:28:20,03:05:02,BGJC,Duyzb,AOR,economy,904.61,Meal,2303,pending,GateYD,B,ClaimBGD,10.88,1,FQE,TypeVKK,Pilot_CMCG,Crew_IACU,Yes,Vegan,Not Available,True,False,False,0,True,Lufthansa
12,18,1366,2023-12-01 07:26:06,2023-01-09 05:22:54,21:14:39,18:11:31,BRCG,Petrb,VFV,business,868.56,Meal,0,confirmed,GateQI,B,ClaimKEB,4.32,1,FGU,TypeYHI,Pilot_MUAC,Crew_QYCQ,Yes,Vegetarian,Available,False,True,False,1,True,Emirates
13,16,7521,2023-06-26 14:16:59,2023-06-05 17:19:03,22:04:22,06:21:09,BOAX,Noyjp,FOF,economy,672.46,Meal,0,pending,GateTO,A,ClaimQCC,4.38,2,XPO,TypeVCK,Pilot_JVCD,Crew_FSCS,No,No Meal,Not Available,True,True,False,1,True,KLM Royal Dutch Airlines
14,6,7606,2023-09-11 04:16:01,2023-10-11 22:28:46,16:44:33,08:12:21,BSEZ,Hzzxx,XVY,first,668.34,No Extras,0,pending,GateGI,A,ClaimYSE,8.38,0,ITG,TypeHVZ,Pilot_GLYB,Crew_XKNC,No,Non-Vegetarian,Available,True,False,True,0,False,Alaska Airlines
15,14,1012,2023-01-24 13:26:15,2023-09-21 23:08:58,12:43:37,05:02:30,BUVG,Untjm,NUN,first,622.34,Extra Baggage,681,pending,GateMI,D,ClaimGOV,2.85,2,LWB,TypeTFN,Pilot_ZEBD,Crew_DMDF,No,Vegetarian,Available,True,False,False,0,False,Lufthansa
16,8,9727,2023-07-04 14:07:52,2023-05-19 11:40:00,16:59:31,02:55:56,BKAV,Sbzen,TQK,first,267.69,Extra Baggage,0,pending,GateEL,A,ClaimLMN,7.64,1,IFM,TypeOOS,Pilot_OVSG,Crew_OYGQ,No,Vegan,Available,False,False,True,1,True,Frontier Airlines
17,7,4239,2023-01-29 17:55:16,2023-09-08 03:01:46,03:21:53,07:55:52,BBNJ,Xuwuz,RKT,economy,634.86,Meal,0,confirmed,GateZI,B,ClaimCZK,7.91,0,CRQ,TypeGMY,Pilot_FFFC,Crew_RLXJ,Yes,No Meal,Not Available,True,False,False,1,True,Spirit Airlines
18,8,3317,2023-01-04 22:52:54,2023-04-06 21:24:11,08:22:14,14:33:16,BCNE,Yxhae,ITH,economy,620.32,Extra Baggage,870,pending,GateOK,A,ClaimMTS,9.03,1,YCF,TypeCAQ,Pilot_EYYM,Crew_GNTC,No,Non-Vegetarian,Not Available,False,False,True,0,False,Frontier Airlines
19,13,5042,2023-09-25 07:27:17,2023-07-10 12:19:42,00:54:26,22:54:23,BQGA,Ykhqy,RQY,business,590.39,No Extras,0,cancelled,GatePE,B,ClaimNDN,9.29,2,IZQ,TypeLSJ,Pilot_YZEJ,Crew_GKSL,No,Vegan,Available,True,True,True,2,False,British Airways
20,6,8485,2023-07-19 22:13:04,2023-05-19 14:20:10,01:46:48,03:11:03,BXKF,Jnaeo,ZLV,economy,814.97,Meal,163,confirmed,GateCX,D,ClaimIRB,9.54,1,VKG,TypeYYD,Pilot_HXQN,Crew_LVMR,No,Vegan,Available,True,True,False,2,True,Alaska Airlines
21,18,1375,2023-12-14 18:07:26,2023-07-30 15:29:17,04:07:22,12:23:43,BPNQ,Joaxk,ZES,economy,93.18,No Extras,3523,cancelled,GateAM,D,ClaimJIT,10.82,0,KZX,TypeGDB,Pilot_ANOM,Crew_GGES,Yes,Vegan,Not Available,True,True,True,1,True,Emirates
22,2,1256,2023-10-26 00:45:19,2023-10-24 12:32:50,03:05:36,08:29:20,BONG,Rfbbq,OYR,first,484.26,Meal,0,pending,GateGI,C,ClaimMAU,1.08,1,NOJ,TypeWPY,Pilot_PHSH,Crew_OXHC,Yes,Vegan,Not Available,True,True,False,1,False,Delta Air Lines
23,8,1449,2023-07-11 01:05:11,2023-10-08 23:25:46,00:58:17,04:00:10,BJSG,Vetnl,ZXD,first,100.9,Meal,154,cancelled,GateAB,A,ClaimHPX,8.54,2,NQH,TypeQPH,Pilot_GELJ,Crew_KPGG,No,Vegan,Not Available,True,False,False,2,True,Frontier Airlines
24,11,4212,2023-02-28 06:07:36,2023-08-01 13:57:42,17:03:35,16:08:39,BOXZ,Dirjg,NNM,economy,806.0,Meal,0,cancelled,GateEG,B,ClaimUQV,7.6,2,OPW,TypeLUH,Pilot_HFLU,Crew_RBLB,Yes,No Meal,Not Available,True,True,True,1,True,SkyWest Airlines
25,1,7175,2023-01-18 04:42:17,2023-10-30 02:08:55,05:55:40,04:32:31,BNOS,Eozmn,WHM,first,271.37,No Extras,0,cancelled,GateTX,D,ClaimYCE,1.41,1,DIT,TypeHUO,Pilot_VBFQ,Crew_MUJQ,Yes,Vegetarian,Not Available,False,False,True,1,True,American Airlines
26,6,6943,2023-02-17 23:14:18,2023-12-24 03:55:48,09:39:02,09:33:08,BUZP,Ydfom,AZQ,economy,397.31,Extra Baggage,4066,cancelled,GateDJ,B,ClaimNDD,6.16,2,SOU,TypeRXY,Pilot_NCHV,Crew_GAUY,Yes,Non-Vegetarian,Available,False,False,False,2,False,Alaska Airlines
27,16,9026,2023-04-04 04:46:56,2023-08-20 20:23:57,20:46:21,04:09:28,BBBA,Mrqad,IIZ,economy,361.56,No Extras,0,pending,GateHU,A,ClaimSAS,11.6,1,JLQ,TypeYHU,Pilot_MPUM,Crew_YVBS,Yes,No Meal,Available,True,True,True,2,False,KLM Royal Dutch Airlines
28,12,8446,2023-12-26 12:37:02,2023-11-17 12:49:37,18:54:30,20:37:39,BPSD,Kysmp,QUK,economy,940.22,No Extras,0,confirmed,GateNX,B,ClaimEXU,6.08,2,ANZ,TypeADI,Pilot_MRAV,Crew_HNWR,Yes,Vegan,Available,False,False,True,2,False,Air Canada
29,11,2308,2023-04-27 06:02:19,2023-04-23 17:19:42,15:45:25,11:16:36,BCKX,Solwh,NPD,economy,372.06,Extra Baggage,0,confirmed,GateED,C,ClaimWJA,5.29,0,NVO,TypeWEL,Pilot_SBGH,Crew_XNVL,No,Vegetarian,Not Available,True,True,False,2,False,SkyWest Airlines
30,10,9339,2023-07-01 14:28:53,2023-08-22 00:10:58,13:03:38,23:00:08,BQEW,Vavhe,NJM,economy,99.17,Extra Baggage,0,pending,GateUY,B,ClaimYRJ,3.44,0,LMV,TypeTCI,Pilot_JTIX,Crew_IDGJ,Yes,Non-Vegetarian,Not Available,True,False,True,1,True,Allegiant Air
31,3,5016,2023-04-18 21:56:57,2023-09-15 03:23:36,09:59:45,16:27:37,BIAY,Xaldo,KDB,economy,85.7,Extra Baggage,1568,cancelled,GateOL,A,ClaimJNK,10.92,2,DCI,TypeWXA,Pilot_IDMC,Crew_SINV,Yes,Non-Vegetarian,Available,True,True,False,1,True,United Airlines
32,13,4940,2023-08-09 15:08:39,2023-12-30 20:07:58,23:24:15,13:45:44,BIDP,Ijumj,EPB,first,255.52,Extra Baggage,1419,pending,GateXB,B,ClaimSRM,1.38,1,FFK,TypeKGR,Pilot_FSZI,Crew_QSFC,No,Non-Vegetarian,Not Available,True,True,False,1,True,British Airways
33,3,7713,2023-07-01 03:21:08,2023-01-01 20:03:27,14:57:08,11:49:41,BOJE,Jnssy,CHY,business,135.1,Extra Baggage,0,confirmed,GateWV,A,ClaimTJY,8.82,2,RAJ,TypeQXS,Pilot_NPWM,Crew_DINU,Yes,Vegan,Available,False,False,True,2,False,United Airlines
34,15,5071,2023-11-26 04:14:47,2023-01-31 14:35:24,16:45:41,10:03:45,BPFP,Avvzx,YWD,business,804.19,Extra Baggage,0,cancelled,GateVI,B,ClaimHBK,3.74,1,CYV,TypeSAE,Pilot_VQAP,Crew_CNBU,Yes,No Meal,Not Available,False,False,False,0,False,Air France
35,16,9107,2023-06-12 21:16:54,2023-07-12 10:08:26,15:25:47,00:39:23,BDVU,Hqwja,YQR,first,690.75,Extra Baggage,0,pending,GateIQ,A,ClaimKAM,9.27,2,TTN,TypeJKC,Pilot_NLSM,Crew_ZHDD,No,Non-Vegetarian,Available,True,True,False,2,True,KLM Royal Dutch Airlines
36,13,6912,2023-07-01 13:02:30,2023-12-28 11:06:36,12:46:22,07:37:16,BOCS,Hebsy,ZNE,business,786.92,Meal,0,confirmed,GatePR,D,ClaimQRW,10.05,0,FIA,TypeGCN,Pilot_EJSK,Crew_GELR,No,No Meal,Available,True,False,True,0,True,British Airways
37,17,1442,2023-06-26 11:57:42,2023-07-05 13:48:09,23:21:17,09:11:25,BIEP,Btwxk,UEX,business,555.84,Meal,0,pending,GateSX,C,ClaimLRL,7.43,1,TRU,TypeFJJ,Pilot_VWJO,Crew_ASMV,Yes,No Meal,Available,True,True,True,2,False,Qantas
38,3,3944,2023-08-05 22:27:36,2023-02-24 19:20:06,22:08:32,06:22:01,BCHX,Czzih,JBZ,economy,499.88,Meal,0,confirmed,GateBA,D,ClaimMUS,1.11,0,TWC,TypePKN,Pilot_QVLY,Crew_FWUL,Yes,Vegan,Available,True,True,False,1,False,United Airlines
39,11,4936,2023-02-21 14:03:01,2023-04-29 22:35:08,05:17:55,21:43:22,BNCP,Fnhoz,IPU,first,393.88,No Extras,0,pending,GateUX,A,ClaimMCL,5.68,1,DSP,TypeNTX,Pilot_DQMD,Crew_VYIJ,Yes,No Meal,Available,False,False,False,2,False,SkyWest Airlines
40,19,1398,2023-11-28 07:17:46,2023-12-05 10:12:00,05:28:46,02:28:16,BGIC,Xcwhv,GYU,business,822.8,No Extras,0,pending,GateLY,D,ClaimCNP,4.28,0,DPO,TypeAUJ,Pilot_TZDM,Crew_VJZF,No,Vegan,Not Available,False,False,False,2,True,Singapore Airlines
41,11,3995,2023-08-01 17:14:16,2023-01-12 04:13:38,00:25:55,03:49:45,BHLQ,Pfgmt,DYH,first,51.68,No Extras,0,confirmed,GateYB,D,ClaimYVG,8.29,2,QUG,TypeFHD,Pilot_GLCT,Crew_KFQT,No,Vegetarian,Available,True,True,False,2,True,SkyWest Airlines
42,16,7329,2023-12-17 23:52:14,2023-05-08 14:34:32,04:37:39,16:13:05,BNPS,Zzisg,CDY,economy,539.74,No Extras,0,cancelled,GateNS,D,ClaimKSH,10.52,1,YEQ,TypeFCM,Pilot_YGOJ,Crew_ZYCG,No,Non-Vegetarian,Available,True,False,True,0,False,KLM Royal Dutch Airlines
43,3,3216,2023-10-10 09:15:17,2023-06-20 10:58:46,08:36:06,23:56:04,BDCM,Pyxgo,QPW,business,405.04,No Extras,4757,pending,GateCB,D,ClaimONU,11.02,2,KWH,TypeDCL,Pilot_DYKZ,Crew_KVWV,No,Vegan,Available,False,True,True,1,False,United Airlines
44,6,2707,2023-06-08 12:24:15,2023-10-20 13:02:54,07:12:03,14:56:45,BIML,Ebbte,OZO,business,196.39,Meal,0,pending,GateBK,D,ClaimNZH,3.64,2,BJM,TypeKYN,Pilot_WKWH,Crew_PVJW,No,Vegan,Not Available,True,True,False,1,False,Alaska Airlines
45,14,6766,2023-07-05 21:56:54,2023-10-13 04:52:59,19:03:45,11:00:53,BZUO,Ldrtk,SZW,business,726.21,Meal,4586,pending,GateZB,A,ClaimZWU,5.84,1,KUT,TypeTXB,Pilot_PFYD,Crew_OHRP,No,Non-Vegetarian,Available,True,True,False,2,True,Lufthansa
46,18,6677,2023-10-01 21:11:42,2023-04-28 06:40:44,22:17:59,12:04:29,BCCB,Utfmz,YJK,economy,304.76,Extra Baggage,650,cancelled,GateQL,A,ClaimWVK,10.68,2,XIS,TypeIGG,Pilot_ZOLN,Crew_LTNT,No,Non-Vegetarian,Not Available,True,False,True,1,True,Emirates
47,17,3568,2023-05-03 10:24:54,2023-03-31 18:55:24,20:18:34,08:51:43,BZFY,Weydj,MLA,first,446.81,Meal,4560,pending,GateYL,A,ClaimHKE,6.18,0,UTX,TypeJNZ,Pilot_NUHJ,Crew_QYOB,No,No Meal,Not Available,True,True,False,2,False,Qantas
48,4,8638,2023-09-29 05:21:05,2023-08-13 20:09:16,07:46:07,19:19:02,BPWR,Bzhtt,DSV,business,325.33,No Extras,0,confirmed,GateQU,D,ClaimOQN,2.56,2,FGB,TypeTLC,Pilot_PWFY,Crew_ETPW,No,Non-Vegetarian,Not Available,True,False,False,0,False,Southwest Airlines
49,15,1160,2023-05-07 09:43:24,2023-10-27 22:36:29,06:26:25,21:32:18,BICW,Citbq,DEM,business,629.09,No Extras,492,pending,GateAH,A,ClaimZOI,6.25,0,DBF,TypeVGU,Pilot_DXSW,Crew_ISXC,Yes,No Meal,Available,True,True,False,1,True,Air France
50,11,9067,2023-07-23 04:14:51,2023-06-26 15:06:22,11:14:52,13:14:30,BZWP,Axqem,USP,business,60.31,No Extras,0,confirmed,GateGG,D,ClaimNYJ,7.73,0,BQC,TypeYUH,Pilot_DWMB,Crew_MLVH,No,Vegan,Not Available,False,True,True,0,False,SkyWest Airlines
51,3,4904,2023-04-27 09:38:15,2023-05-22 00:22:54,11:57:07,14:14:39,BDND,Hgwnh,WVY,first,672.92,No Extras,0,cancelled,GateJE,A,ClaimOPL,10.35,1,DVA,TypeOSJ,Pilot_VHYL,Crew_QBUQ,No,Non-Vegetarian,Available,False,False,False,2,True,United Airlines
52,3,4573,2023-12-14 01:53:47,2023-06-08 00:02:09,09:36:34,03:52:30,BRRR,Kcere,UCU,economy,442.49,Meal,0,pending,GateTN,D,ClaimIPV,3.38,2,RAX,TypeHTI,Pilot_PMHD,Crew_AYFE,Yes,No Meal,Available,False,True,True,1,True,United Airlines
53,16,2825,2023-08-03 22:37:30,2023-11-01 02:31:33,04:55:54,08:16:03,BUCZ,Mebzm,KLJ,business,728.53,Meal,0,cancelled,GateGS,D,ClaimZFK,11.51,1,OUD,TypeUED,Pilot_HFJQ,Crew_KWDS,No,Vegetarian,Not Available,False,True,False,1,False,KLM Royal Dutch Airlines
54,5,6582,2023-09-22 00:23:33,2023-08-10 22:17:44,12:21:47,14:25:01,BGMG,Fqhqs,YPU,economy,846.96,Meal,0,cancelled,GateKN,D,ClaimHOO,9.56,1,XOF,TypeEHH,Pilot_CJMO,Crew_ELLI,No,Vegan,Available,True,True,False,0,False,JetBlue Airways
55,10,2176,2023-10-07 21:46:59,2023-10-17 16:27:58,19:40:58,15:59:47,BVMX,Oargg,GKA,business,538.53,Extra Baggage,0,cancelled,GateZC,D,ClaimOJB,3.97,0,RSE,TypeYMR,Pilot_UGLQ,Crew_RHHI,No,Non-Vegetarian,Not Available,False,False,False,2,True,Allegiant Air
56,19,5918,2023-05-04 09:15:06,2023-07-21 08:46:11,05:58:32,06:49:44,BDPY,Pkeun,NOW,business,875.75,Meal,0,confirmed,GateFL,A,ClaimGWO,11.75,0,YAN,TypeMZJ,Pilot_USVT,Crew_MVWG,No,No Meal,Available,True,False,False,0,True,Singapore Airlines
57,4,5880,2023-04-22 23:54:20,2023-06-30 14:13:03,01:36:51,13:24:44,BOMJ,Wzjex,DKE,first,176.63,No Extras,0,pending,GateAS,B,ClaimALV,11.36,2,YSW,TypeLDP,Pilot_YRIU,Crew_TSZA,Yes,Vegan,Available,False,True,False,2,False,Southwest Airlines
58,19,4220,2023-12-30 21:26:46,2023-07-31 22:48:25,09:34:19,05:33:58,BJED,Srzdw,HXE,first,82.78,Extra Baggage,0,confirmed,GateFX,D,ClaimRFZ,9.16,0,YQQ,TypeOGF,Pilot_SJXF,Crew_XSBC,No,Vegan,Available,False,True,True,2,False,Singapore Airlines
59,11,8820,2023-09-01 20:30:39,2023-11-12 03:52:33,10:57:22,13:12:47,BSOI,Iskck,BFF,first,891.18,No Extras,0,pending,GateDU,B,ClaimDYI,7.14,2,YOA,TypeXUV,Pilot_YCTV,Crew_VTGI,No,Vegan,Available,True,True,False,2,True,SkyWest Airlines
60,2,1130,2023-01-30 20:39:03,2023-12-22 23:57:54,07:25:26,16:40:37,BPDY,Gqwrz,QEN,economy,161.93,No Extras,0,pending,GateNU,A,ClaimXWN,11.13,2,KLK,TypeILV,Pilot_EHIB,Crew_KNVO,No,Non-Vegetarian,Not Available,True,True,True,2,False,Delta Air Lines
61,10,7659,2023-11-27 07:22:56,2023-06-29 07:42:46,17:59:17,11:44:43,BKQU,Oqzyq,DON,business,222.0,Meal,0,pending,GateWK,C,ClaimOQX,5.87,2,MXS,TypeGZL,Pilot_MUCB,Crew_RTTT,No,Vegan,Available,False,True,False,0,True,Allegiant Air
62,11,4562,2023-03-24 16:36:09,2023-11-18 06:24:51,21:12:52,10:36:47,BAIL,Xjowp,LAH,first,165.18,Extra Baggage,0,cancelled,GateGF,B,ClaimNAB,5.68,0,AAW,TypeMKV,Pilot_IJAG,Crew_CTIR,No,Non-Vegetarian,Available,False,True,False,0,False,SkyWest Airlines
63,16,2499,2023-11-23 10:31:24,2023-11-05 13:40:06,02:44:22,12:00:56,BWLJ,Ozius,XRZ,business,212.79,Extra Baggage,4264,pending,GateVS,B,ClaimGZX,5.15,1,EQA,TypeUDM,Pilot_WMYH,Crew_QVJO,No,No Meal,Available,True,True,True,1,False,KLM Royal Dutch Airlines
64,19,8430,2023-09-20 23:51:40,2023-03-03 05:05:56,23:12:27,13:39:08,BIUZ,Abfxi,KNY,first,904.14,Meal,705,confirmed,GateSK,B,ClaimQGF,10.07,1,SHB,TypeOCD,Pilot_MPDH,Crew_WKMH,Yes,Non-Vegetarian,Available,False,False,True,2,False,Singapore Airlines
65,11,8705,2023-06-10 19:45:07,2023-07-09 12:38:53,09:45:07,14:18:42,BYTP,Xrajd,SSD,business,855.53,Extra Baggage,0,confirmed,GateVN,B,ClaimDJI,2.71,1,FAY,TypePIN,Pilot_SHXM,Crew_QOGC,No,Vegan,Not Available,False,True,True,1,False,SkyWest Airlines
66,14,8626,2023-08-27 03:00:35,2023-12-03 13:40:23,04:00:25,09:49:31,BMCR,Nuzft,GRO,business,302.24,Meal,0,pending,GateUX,C,ClaimUKG,1.74,2,BWI,TypeYWB,Pilot_ACOG,Crew_LAZW,No,Vegetarian,Not Available,False,False,True,1,False,Lufthansa
67,2,7679,2023-08-01 23:42:33,2023-05-05 05:53:24,09:28:59,01:35:47,BDSY,Eoxjc,JPO,economy,719.4,Meal,0,pending,GateML,C,ClaimZVI,4.38,1,PFJ,TypeDTA,Pilot_FJPL,Crew_GPDP,Yes,No Meal,Available,True,True,True,0,True,Delta Air Lines
68,5,3788,2023-08-25 18:34:39,2023-08-17 01:21:42,09:17:24,06:39:09,BMML,Qiior,BID,business,798.93,No Extras,2145,confirmed,GateMZ,C,ClaimQAH,11.38,1,MJH,TypeRFH,Pilot_FXKL,Crew_AQIP,No,Non-Vegetarian,Available,False,False,True,1,True,JetBlue Airways
69,5,5876,2023-03-01 02:34:00,2023-12-12 09:53:46,19:36:48,14:00:03,BXAB,Chcsv,GYW,business,197.14,No Extras,0,cancelled,GateAX,C,ClaimZRS,6.04,0,TGZ,TypeENI,Pilot_RMOT,Crew_GBCW,No,Vegan,Not Available,False,True,False,2,True,JetBlue Airways
70,19,4708,2023-04-13 12:58:36,2023-02-15 04:22:13,00:04:12,00:49:26,BCVU,Mvpgz,UQL,business,266.76,No Extras,0,confirmed,GateLK,C,ClaimDQP,4.38,0,QPG,TypeRAP,Pilot_WSXD,Crew_DUCZ,No,Vegetarian,Not Available,True,False,True,0,False,Singapore Airlines
71,12,2769,2023-10-11 06:42:29,2023-07-31 05:07:24,02:50:08,12:14:48,BUVM,Tezsb,YHU,first,503.92,No Extras,0,cancelled,GateSZ,C,ClaimYPY,1.59,0,EUL,TypeIJP,Pilot_PBRL,Crew_YRGZ,No,No Meal,Not Available,False,False,False,2,True,Air Canada
72,18,7731,2023-06-30 02:13:07,2023-06-01 19:37:11,23:22:31,20:18:27,BLPN,Ccbpq,IXD,business,654.79,Meal,0,confirmed,GateEP,C,ClaimNYA,8.3,2,KCI,TypeOGV,Pilot_AXLE,Crew_OCMI,No,Vegetarian,Not Available,False,False,True,1,True,Emirates
73,4,4044,2023-11-25 16:39:11,2023-08-29 01:52:40,15:26:25,05:23:11,BXNQ,Ppsqx,BYM,economy,449.75,No Extras,0,pending,GateQC,B,ClaimHFY,6.87,2,PRG,TypeTTO,Pilot_HZIJ,Crew_LZLN,Yes,Non-Vegetarian,Not Available,True,False,True,0,True,Southwest Airlines
74,17,1375,2023-01-13 16:43:40,2023-06-05 21:04:47,22:58:00,15:49:25,BEFJ,Elvlz,YGO,economy,793.62,No Extras,0,pending,GateLB,D,ClaimJNY,9.71,0,XGV,TypeSHT,Pilot_LQZW,Crew_NNOJ,Yes,Vegan,Available,False,False,False,1,False,Qantas
75,10,7347,2023-07-16 08:32:16,2023-05-30 02:57:58,23:40:06,11:06:14,BVIZ,Ggdfp,HDZ,first,990.79,No Extras,0,pending,GateQT,C,ClaimVOD,5.47,2,JGG,TypeTDX,Pilot_QSJC,Crew_BNIA,Yes,Vegetarian,Not Available,True,False,False,2,True,Allegiant Air
76,6,4036,2023-06-15 14:37:27,2023-04-23 05:31:11,10:51:09,05:43:01,BGDW,Hfwsy,DKQ,business,871.56,Meal,0,cancelled,GateZL,A,ClaimIZK,9.17,0,YIC,TypeCVB,Pilot_QHQF,Crew_MNDT,Yes,No Meal,Available,True,True,False,1,True,Alaska Airlines
77,14,9852,2023-12-22 23:48:26,2023-03-15 21:54:21,15:36:58,12:34:32,BGKF,Jpbnk,MIJ,economy,858.99,Extra Baggage,0,cancelled,GateLL,B,ClaimRAS,2.99,1,UAN,TypeAZQ,Pilot_GTAF,Crew_HEQZ,No,No Meal,Not Available,False,False,True,1,False,Lufthansa
78,11,7218,2023-04-22 11:51:52,2023-04-22 05:44:32,06:26:58,01:07:05,BPPX,Xxbyc,IUN,first,241.51,Meal,0,pending,GateXH,D,ClaimPPG,8.79,2,YSB,TypeQED,Pilot_LTXA,Crew_WJMU,No,No Meal,Available,True,False,True,0,True,SkyWest Airlines
79,11,1740,2023-05-02 00:03:16,2023-12-25 12:07:54,09:12:40,10:17:05,BXMZ,Zvkdn,WCH,first,909.23,Meal,0,cancelled,GateHH,B,ClaimCPL,3.81,2,XYK,TypePXV,Pilot_AEDE,Crew_ZQTJ,No,Vegan,Available,True,False,True,0,True,SkyWest Airlines
80,18,9495,2023-01-03 10:45:40,2023-08-06 13:28:55,21:20:19,13:09:50,BLVB,Eczhj,YLH,economy,991.42,No Extras,1498,pending,GateEF,A,ClaimDJS,9.98,1,PBW,TypeQZB,Pilot_DIRP,Crew_QTUO,No,Non-Vegetarian,Available,False,False,False,2,True,Emirates
81,18,2085,2023-07-30 15:30:33,2023-11-20 20:41:22,12:21:42,19:18:09,BUMA,Lzhwg,EFS,economy,587.51,Meal,0,cancelled,GateLX,A,ClaimCGC,8.01,2,YMJ,TypeRAO,Pilot_WKGD,Crew_FEOW,No,Non-Vegetarian,Available,True,True,False,2,False,Emirates
82,11,2210,2023-05-31 16:46:07,2023-05-09 00:31:44,06:56:46,05:11:18,BJZJ,Bzlvt,CNN,first,772.1,No Extras,0,confirmed,GateTN,C,ClaimYIT,5.94,0,NZF,TypeQBY,Pilot_NFSN,Crew_CXLC,Yes,Vegan,Available,False,False,False,2,True,SkyWest Airlines
83,12,9420,2023-04-30 12:36:07,2023-10-29 18:31:49,11:05:16,01:45:17,BKID,Kiefg,MGI,first,619.33,Extra Baggage,0,cancelled,GateMG,A,ClaimAEA,2.42,0,AAQ,TypeMSG,Pilot_SSNG,Crew_QHGX,No,Vegan,Not Available,False,False,False,1,False,Air Canada
